Overall Rank,Position Rank,Position,Name,Team,CSR Points,Points
1,1,RB,Le'Veon Bell,PIT,13.60,22.54
2,2,RB,Devonta Freeman,ATL,10.36,19.30
3,3,RB,DeMarco Murray,PHI,9.46,18.40
4,4,RB,Mark Ingram,NOS,9.29,18.23
5,5,RB,Matt Forte,CHI,9.23,18.17
6,1,TE,Rob Gronkowski,NEP,7.34,16.24
7,1,WR,DeAndre Hopkins,HOU,6.85,19.22
8,6,RB,Eddie Lacy,GBP,6.73,15.67
9,7,RB,Dion Lewis,NEP,6.16,15.10
10,8,RB,Adrian Peterson,MIN,6.05,14.99
11,2,WR,A.J. Green,CIN,5.93,18.30
12,9,RB,Giovani Bernard,CIN,5.87,14.81
13,3,WR,Calvin Johnson,DET,5.79,18.16
14,4,WR,Emmanuel Sanders,DEN,5.78,18.15
15,5,WR,Demaryius Thomas,DEN,5.66,18.03
16,6,WR,Julian Edelman,NEP,5.61,17.98
17,7,WR,Odell Beckham,NYG,5.36,17.73
18,10,RB,C.J. Anderson,DEN,5.21,14.15
19,1,QB,Tom Brady,NEP,5.20,25.34
20,8,WR,Julio Jones,ATL,5.03,17.40
21,2,QB,Aaron Rodgers,GBP,4.94,25.08
22,9,WR,Brandon Marshall,NYJ,4.87,17.24
23,11,RB,Arian Foster,HOU,4.71,13.65
24,12,RB,Charcandrick West,KCC,4.26,13.20
25,2,TE,Greg Olsen,CAR,3.77,12.67
26,10,WR,Brandin Cooks,NOS,3.73,16.10
27,3,TE,Tyler Eifert,CIN,3.65,12.55
28,11,WR,Larry Fitzgerald,ARI,3.53,15.9
29,3,QB,Andy Dalton,CIN,3.52,23.66
30,4,TE,Antonio Gates,SDC,3.33,12.23
31,4,QB,Drew Brees,NOS,2.96,23.10
32,12,WR,Willie Snead,NOS,2.91,15.28
33,13,WR,Jeremy Maclin,KCC,2.91,15.28
34,14,WR,Jordan Matthews,PHI,2.70,15.07
35,13,RB,LeSean McCoy,BUF,2.69,11.63
36,15,WR,Keenan Allen,SDC,2.59,14.96
37,14,RB,Melvin Gordon,SDC,2.56,11.50
38,15,RB,Ameer Abdullah,DET,2.45,11.39
39,5,TE,Delanie Walker,TEN,2.33,11.23
40,16,RB,Justin Forsett,BAL,2.10,11.04
41,17,RB,Danny Woodhead,SDC,2.08,11.02
42,18,RB,Frank Gore,IND,1.89,10.83
43,5,QB,Philip Rivers,SDC,1.82,21.96
44,7,QB,Carson Palmer,ARI,1.78,21.92
45,6,QB,Ryan Tannehill,MIA,1.78,21.92
46,6,TE,Martellus Bennett,CHI,1.78,10.68
47,8,QB,Matt Ryan,ATL,1.74,21.88
48,7,TE,Gary Barnidge,CLE,1.69,10.59
49,19,RB,Chris Johnson,ARI,1.60,10.54
50,9,QB,Peyton Manning,DEN,1.56,21.70
51,16,WR,Alshon Jeffery,CHI,1.54,13.91
52,8,TE,Jacob Tamme,ATL,1.48,10.38
53,17,WR,Antonio Brown,PIT,1.45,13.82
54,20,RB,Jeremy Hill,CIN,1.44,10.38
55,18,WR,T.Y. Hilton,IND,1.44,13.81
56,19,WR,Allen Robinson,JAC,1.42,13.79
57,20,WR,Anquan Boldin,SFO,1.33,13.70
58,9,TE,Jimmy Graham,SEA,1.31,10.21
59,10,TE,Travis Kelce,KCC,1.27,10.17
60,21,WR,Randall Cobb,GBP,1.26,13.63
61,10,QB,Eli Manning,NYG,1.04,21.18
62,21,RB,Lamar Miller,MIA,0.95,9.89
63,22,RB,Knile Davis,KCC,0.88,9.82
64,22,WR,Travis Benjamin,CLE,0.57,12.94
65,11,TE,Zach Ertz,PHI,0.29,9.19
66,23,RB,Andre Ellington,ARI,0.24,9.18
67,11,QB,Jay Cutler,CHI,0.22,20.36
68,23,WR,Jarvis Landry,MIA,0.19,12.56
69,24,RB,Isaiah Crowell,CLE,0.00,8.94
70,24,WR,Steve Smith,BAL,0.00,12.37
71,12,QB,Joe Flacco,BAL,0.00,20.14
72,12,TE,Jordan Cameron,MIA,0.00,8.90
73,26,RB,Chris Ivory,NYJ,-0.04,8.90
74,25,RB,Shane Vereen,NYG,-0.04,8.90
75,13,TE,Charles Clay,BUF,-0.20,8.70
76,25,WR,Kendall Wright,TEN,-0.22,12.15
77,27,RB,C.J. Spiller,NOS,-0.27,8.67
78,28,RB,Karlos Williams,BUF,-0.30,8.64
79,29,RB,LeGarrette Blount,NEP,-0.32,8.62
80,26,WR,Golden Tate,DET,-0.34,12.03
81,30,RB,Khiry Robinson,NOS,-0.35,8.59
82,31,RB,Alfred Morris,WAS,-0.42,8.52
83,13,QB,Russell Wilson,SEA,-0.42,19.72
84,14,TE,Dwayne Allen,IND,-0.50,8.40
85,27,WR,Mike Wallace,MIN,-0.55,11.82
86,14,QB,Cam Newton,CAR,-0.56,19.58
87,15,TE,Derek Carrier,WAS,-0.60,8.30
88,16,TE,Coby Fleener,IND,-0.64,8.26
89,15,QB,Colin Kaepernick,SFO,-0.66,19.48
90,28,WR,Eric Decker,NYJ,-0.71,11.66
91,29,WR,Ted GinnJr.,CAR,-0.78,11.59
92,30,WR,Doug Baldwin,SEA,-0.78,11.59
93,17,TE,Larry Donnell,NYG,-0.81,8.09
94,32,RB,Darren Sproles,PHI,-0.85,8.09
95,33,RB,Jonathan Stewart,CAR,-0.90,8.04
96,31,WR,Rueben Randle,NYG,-0.95,11.42
97,34,RB,Denard Robinson,JAC,-1.01,7.93
98,35,RB,Ryan Mathews,PHI,-1.06,7.88
99,32,WR,James Jones,GBP,-1.08,11.29
100,36,RB,Ronnie Hillman,DEN,-1.10,7.84
101,37,RB,Ahmad Bradshaw,IND,-1.12,7.82
102,18,TE,Heath Miller,PIT,-1.18,7.72
103,33,WR,Torrey Smith,SFO,-1.22,11.15
104,38,RB,David Johnson,ARI,-1.23,7.71
105,16,QB,Marcus Mariota,TEN,-1.24,18.90
106,17,QB,Ryan Fitzpatrick,NYJ,-1.28,18.86
107,39,RB,Carlos Hyde,SFO,-1.28,7.66
108,40,RB,Marshawn Lynch,SEA,-1.31,7.63
109,41,RB,Duke Johnson,CLE,-1.35,7.59
110,18,QB,Matthew Stafford,DET,-1.40,18.74
111,19,TE,Richard Rodgers,GBP,-1.43,7.47
112,42,RB,Fred Jackson,SEA,-1.44,7.50
113,34,WR,John Brown,ARI,-1.62,10.75
114,43,RB,DeAngelo Williams,PIT,-1.72,7.22
115,36,WR,Kamar Aiken,BAL,-1.79,10.58
116,35,WR,Cecil Shorts,HOU,-1.79,10.58
117,37,WR,Roddy White,ATL,-1.82,10.55
118,38,WR,Andre Johnson,IND,-1.96,10.41
119,39,WR,Greg Jennings,MIA,-1.99,10.38
120,40,WR,Allen Hurns,JAC,-2.08,10.29
121,41,WR,Sammy Watkins,BUF,-2.21,10.16
122,19,QB,Andrew Luck,IND,-2.22,17.92
123,20,QB,Alex Smith,KCC,-2.26,17.88
124,44,RB,Zach Zenner,DET,-2.27,6.67
125,42,WR,Marquess Wilson,CHI,-2.31,10.06
126,45,RB,Bilal Powell,NYJ,-2.31,6.63
127,20,TE,Crockett Gillmore,BAL,-2.41,6.49
128,21,TE,Ben Watson,NOS,-2.42,6.48
129,46,RB,Rashad Jennings,NYG,-2.47,6.47
130,43,WR,Donte Moncrief,IND,-2.57,9.80
131,22,TE,Kyle Rudolph,MIN,-2.69,6.21
132,23,TE,Brent Celek,PHI,-2.71,6.19
133,44,WR,Pierre Garcon,WAS,-2.71,9.66
134,24,TE,Owen Daniels,DEN,-2.75,6.15
135,45,WR,Cordarrelle Patterson,MIN,-2.79,9.58
136,46,WR,Jermaine Kearse,SEA,-2.80,9.57
137,25,TE,Ladarius Green,SDC,-2.92,5.98
138,47,RB,James Starks,GBP,-2.93,6.01
139,47,WR,Marvin Jones,CIN,-3.28,9.09
140,48,WR,Mohamed Sanu,CIN,-3.37,9.00
141,49,WR,Kenny Stills,MIA,-3.47,8.90
142,21,QB,Brian Hoyer,HOU,-3.50,16.64
143,26,TE,Julius Thomas,JAC,-3.64,5.26
144,48,RB,Chris Thompson,WAS,-3.73,5.21
145,50,WR,Eddie Royal,CHI,-3.76,8.61
146,49,RB,Andre Williams,NYG,-3.84,5.10
147,50,RB,Alfred Blue,HOU,-3.85,5.09
148,27,TE,Garrett Graham,HOU,-3.87,5.03
149,51,RB,Theo Riddick,DET,-3.89,5.05
150,22,QB,Sam Bradford,PHI,-3.90,16.24
151,51,WR,Malcom Floyd,SDC,-3.92,8.45
152,52,WR,Robert Woods,BUF,-3.97,8.40
153,23,QB,Blake Bortles,JAC,-4.04,16.10
154,53,WR,Danny Amendola,NEP,-4.07,8.30
155,53,RB,Tevin Coleman,ATL,-4.12,4.82
156,52,RB,Jerick McKinnon,MIN,-4.12,4.82
157,54,RB,Dexter McCluster,TEN,-4.18,4.76
158,28,TE,Vernon Davis,SFO,-4.21,4.69
159,29,TE,Tim Wright,DET,-4.26,4.64
160,54,WR,Rishard Matthews,MIA,-4.28,8.09
161,30,TE,Jermaine Gresham,ARI,-4.30,4.60
162,55,WR,Jarius Wright,MIN,-4.35,8.02
163,55,RB,Branden Oliver,SDC,-4.37,4.57
164,56,WR,Markus Wheaton,PIT,-4.48,7.89
165,56,RB,Donald Brown,SDC,-4.54,4.4
166,57,RB,Anthony Dixon,BUF,-4.59,4.35
167,24,QB,Teddy Bridgewater,MIN,-4.60,15.54
168,58,RB,Chris Polk,HOU,-4.62,4.32
169,59,RB,Zac Stacy,NYJ,-4.63,4.31
170,57,WR,Andrew Hawkins,CLE,-4.64,7.73
171,60,RB,Damien Williams,MIA,-4.64,4.30
172,61,RB,Bishop Sankey,TEN,-4.80,4.14
173,62,RB,Toby Gerhart,JAC,-4.84,4.10
174,31,TE,Scott Chandler,NEP,-5.01,3.89
175,32,TE,Garrett Celek,SFO,-5.02,3.88
176,58,WR,Jamison Crowder,WAS,-5.10,7.27
177,63,RB,Antonio Andrews,TEN,-5.15,3.79
178,25,QB,E.J. Manuel,BUF,-5.16,14.98
179,33,TE,Darren Fells,ARI,-5.16,3.74
180,34,TE,Anthony Fasano,TEN,-5.17,3.73
181,64,RB,Jonathan Grimes,HOU,-5.28,3.66
182,59,WR,Harry Douglas,TEN,-5.33,7.04
183,60,WR,Corey Brown,CAR,-5.45,6.92
184,35,TE,Clay Harbor,JAC,-5.49,3.41
185,61,WR,Justin Hunter,TEN,-5.52,6.85
186,26,QB,Michael Vick,PIT,-5.56,14.58
187,62,WR,Riley Cooper,PHI,-5.82,6.55
188,36,TE,Jeff Cumberland,NYJ,-5.83,3.07
189,37,TE,Luke Willson,SEA,-5.84,3.06
190,38,TE,Dion Sims,MIA,-5.85,3.05
191,65,RB,Matt Asiata,MIN,-5.88,3.06
192,39,TE,Maxx Williams,BAL,-5.88,3.02
193,66,RB,Terron Ward,ATL,-5.92,3.02
194,63,WR,Martavis Bryant,PIT,-5.94,6.43
195,40,TE,Josh Hill,NOS,-6.02,2.88
196,64,WR,Leonard Hankerson,ATL,-6.03,6.34
197,67,RB,Mike Davis,SFO,-6.10,2.84
198,41,TE,Marcedes Lewis,JAC,-6.11,2.79
199,65,WR,Michael Floyd,ARI,-6.13,6.24
200,68,RB,Robert Turbin,CLE,-6.15,2.79
201,66,WR,Andre Roberts,WAS,-6.16,6.21
202,69,RB,John Kuhn,GBP,-6.32,2.62
203,67,WR,Ty Montgomery,GBP,-6.35,6.02
204,68,WR,Chris Hogan,BUF,-6.39,5.98
205,70,RB,Mike Tolbert,CAR,-6.41,2.53
206,71,RB,Cameron Artis-Payne,CAR,-6.42,2.52
207,72,RB,Javorius Allen,BAL,-6.51,2.43
208,73,RB,Brandon Bolden,NEP,-6.52,2.42
209,42,TE,Virgil Green,DEN,-6.53,2.37
210,69,WR,Marlon Brown,BAL,-6.54,5.83
211,43,TE,Ed Dickson,CAR,-6.64,2.26
212,74,RB,Thomas Rawls,SEA,-6.74,2.20
213,75,RB,Darrel Young,WAS,-6.82,2.12
214,70,WR,Taylor Gabriel,CLE,-6.88,5.49
215,76,RB,Rex Burkhead,CIN,-6.88,2.06
216,44,TE,James O'Shaughnessy,KCC,-6.92,1.98
217,77,RB,Fozzy Whittaker,CAR,-6.98,1.96
218,78,RB,James White,NEP,-6.99,1.95
219,45,TE,Jim Dray,CLE,-7.01,1.89
220,79,RB,Jeremy Langford,CHI,-7.05,1.89
221,46,TE,Jake Stoneburner,MIA,-7.07,1.83
222,47,TE,Jerome Cunningham,NYG,-7.08,1.82
223,80,RB,Jordan Todman,PIT,-7.09,1.85
224,48,TE,C.J. Fiedorowicz,HOU,-7.11,1.79
225,81,RB,Jonas Gray,MIA,-7.11,1.83
226,71,WR,Dwayne Harris,NYG,-7.13,5.24
227,72,WR,Lance Moore,DET,-7.16,5.21
228,82,RB,Dan Herron,BUF,-7.18,1.76
229,27,QB,Kirk Cousins,WAS,-7.22,12.92
230,73,WR,Dontrelle Inman,SDC,-7.27,5.10
231,83,RB,Stepfan Taylor,ARI,-7.31,1.63
232,74,WR,Josh Huff,PHI,-7.32,5.05
233,49,TE,Levine Toilolo,ATL,-7.34,1.56
234,28,QB,Josh McCown,CLE,-7.40,12.74
235,75,WR,De'Anthony Thomas,KCC,-7.41,4.96
236,76,WR,Darrius Heyward-Bey,PIT,-7.43,4.94
237,85,RB,Raheem Mostert,BAL,-7.44,1.5
238,84,RB,Zach Line,MIN,-7.44,1.50
239,50,TE,John Phillips,SDC,-7.46,1.44
240,77,WR,Tyler Lockett,SEA,-7.52,4.85
