Overall Rank,Position Rank,Position,Name,Team,CSR Points,Points
71,24,WR,Ted GinnJr.,CAR,3.06,12.69
73,25,WR,Eric Decker,NYJ,3.04,12.67
78,26,WR,Vincent Jackson,TBB,2.72,12.35
79,27,WR,Travis Benjamin,CLE,2.65,12.28
80,28,WR,Amari Cooper,OAK,2.64,12.27
85,29,WR,Mike Evans,TBB,2.42,12.05
89,30,WR,Cecil Shorts,HOU,2.22,11.85
92,31,WR,Terrance Williams,DAL,2.04,11.67
93,32,WR,Doug Baldwin,SEA,2.02,11.65
96,33,WR,Jeremy Maclin,KCC,1.83,11.46
98,34,WR,Mike Wallace,MIN,1.76,11.39
100,35,WR,Kendall Wright,TEN,1.65,11.28
102,36,WR,Leonard Hankerson,ATL,1.57,11.2
103,37,WR,DeSean Jackson,WAS,1.53,11.16
106,38,WR,Chris Hogan,BUF,1.02,10.65
72,24,RB,Shane Vereen,NYG,0.88,10.51
116,39,WR,Rishard Matthews,MIA,0.39,10.02
117,40,WR,Kamar Aiken,BAL,0.36,9.99
82,25,RB,Ameer Abdullah,DET,0.34,9.97
122,41,WR,Brian Quick,STL,0.25,9.88
86,26,RB,Jonathan Stewart,CAR,0.12,9.75
124,42,WR,Malcom Floyd,SDC,0.12,9.75
127,43,WR,Torrey Smith,SFO,0.01,9.64
130,44,WR,Michael Crabtree,OAK,0.00,9.63
90,27,RB,Andre Ellington,ARI,-0.06,9.57
133,45,WR,Danny Amendola,NEP,-0.10,9.53
91,28,RB,Alfred Morris,WAS,-0.11,9.52
134,46,WR,Rueben Randle,NYG,-0.12,9.51
95,29,RB,Ryan Mathews,PHI,-0.27,9.36
139,47,WR,Jermaine Kearse,SEA,-0.44,9.19
144,48,WR,Riley Cooper,PHI,-0.65,8.98
146,49,WR,Roddy White,ATL,-0.91,8.72
149,50,WR,Anquan Boldin,SFO,-0.99,8.64
105,30,RB,Isaiah Crowell,CLE,-1.05,8.58
69,12,TE,Larry Donnell,NYG,-1.24,8.39
74,13,TE,Ladarius Green,SDC,-1.28,8.35
75,14,TE,Ben Watson,NOS,-1.34,8.29
109,31,RB,Rashad Jennings,NYG,-1.36,8.27
110,32,RB,Ahmad Bradshaw,IND,-1.37,8.26
111,33,RB,Karlos Williams,BUF,-1.38,8.25
77,15,TE,Jordan Cameron,MIA,-1.48,8.15
114,34,RB,Charles Sims,TBB,-1.67,7.96
164,51,WR,Tavon Austin,STL,-1.73,7.90
166,52,WR,Andrew Hawkins,CLE,-1.80,7.83
83,16,TE,Jordan Reed,WAS,-1.83,7.80
118,35,RB,LeGarrette Blount,NEP,-1.86,7.77
84,17,TE,Heath Miller,PIT,-1.87,7.76
120,37,RB,Benny Cunningham,STL,-1.88,7.75
119,36,RB,Roy Helu,OAK,-1.88,7.75
121,38,RB,Marcel Reece,OAK,-1.89,7.74
