Overall Rank,Position Rank,Position,Name,Team,CSR Points,Points
1,1,RB,Le'Veon Bell,PIT,10.62,20.88
2,1,WR,DeAndre Hopkins,HOU,9.31,21.58
3,2,RB,Devonta Freeman,ATL,8.91,19.17
4,3,RB,DeMarco Murray,PHI,8.52,18.78
5,4,RB,Joseph Randle,DAL,7.08,17.34
6,1,TE,Rob Gronkowski,NEP,6.85,15.66
7,5,RB,Charcandrick West,KCC,6.60,16.86
8,6,RB,Mark Ingram,NOS,6.01,16.27
9,7,RB,Darren McFadden,DAL,5.94,16.20
10,2,WR,Antonio Brown,PIT,5.69,17.96
11,8,RB,Marshawn Lynch,SEA,5.60,15.86
12,1,QB,Andrew Luck,IND,5.54,24.18
13,2,QB,Carson Palmer,ARI,5.22,23.86
14,3,QB,Drew Brees,NOS,4.94,23.58
15,9,RB,Adrian Peterson,MIN,4.94,15.20
16,3,WR,Julio Jones,ATL,4.90,17.17
17,4,QB,Cam Newton,CAR,4.88,23.52
18,2,TE,Jason Witten,DAL,4.81,13.62
19,5,QB,Philip Rivers,SDC,4.54,23.18
20,4,WR,Larry Fitzgerald,ARI,4.44,16.71
21,5,WR,Odell Beckham,NYG,4.17,16.44
22,3,TE,Antonio Gates,SDC,4.15,12.96
23,10,RB,Arian Foster,HOU,3.95,14.21
24,4,TE,Jimmy Graham,SEA,3.94,12.75
25,6,QB,Tom Brady,NEP,3.74,22.38
26,5,TE,Greg Olsen,CAR,3.61,12.42
27,11,RB,Latavius Murray,OAK,3.59,13.85
28,6,TE,Travis Kelce,KCC,3.47,12.28
29,6,WR,Julian Edelman,NEP,3.39,15.66
30,7,WR,Keenan Allen,SDC,3.33,15.60
31,7,QB,Russell Wilson,SEA,3.22,21.86
32,7,TE,Charles Clay,BUF,3.22,12.03
33,8,WR,Calvin Johnson,DET,3.19,15.46
34,9,WR,Brandon Marshall,NYJ,3.13,15.40
35,8,TE,Delanie Walker,TEN,3.02,11.83
36,10,WR,Stefon Diggs,MIN,2.96,15.23
37,8,QB,Ryan Tannehill,MIA,2.78,21.42
38,12,RB,Lamar Miller,MIA,2.78,13.04
39,11,WR,T.Y. Hilton,IND,2.60,14.87
40,13,RB,LeSean McCoy,BUF,2.57,12.83
41,14,RB,Chris Ivory,NYJ,2.27,12.53
42,12,WR,Allen Robinson,JAC,2.11,14.38
43,15,RB,Frank Gore,IND,2.08,12.34
44,16,RB,Duke Johnson,CLE,2.06,12.32
45,17,RB,Justin Forsett,BAL,2.05,12.31
46,13,WR,Jordan Matthews,PHI,1.87,14.14
47,14,WR,Donte Moncrief,IND,1.77,14.04
48,18,RB,Todd Gurley,STL,1.68,11.94
49,15,WR,Steve Smith,BAL,1.60,13.87
50,16,WR,John Brown,ARI,1.46,13.73
51,9,TE,Gary Barnidge,CLE,1.31,10.12
52,19,RB,Danny Woodhead,SDC,1.17,11.43
53,9,QB,Matt Ryan,ATL,1.12,19.76
54,17,WR,Jarvis Landry,MIA,0.95,13.22
55,20,RB,Doug Martin,TBB,0.93,11.19
56,18,WR,Brandin Cooks,NOS,0.89,13.16
57,11,TE,Dwayne Allen,IND,0.87,9.68
58,10,TE,Coby Fleener,IND,0.87,9.68
59,19,WR,Martavis Bryant,PIT,0.81,13.08
60,10,QB,Eli Manning,NYG,0.78,19.42
61,21,RB,Chris Johnson,ARI,0.67,10.93
62,11,QB,Blake Bortles,JAC,0.62,19.26
63,20,WR,Willie Snead,NOS,0.51,12.78
64,21,WR,Ted GinnJr.,CAR,0.42,12.69
65,22,RB,LeGarrette Blount,NEP,0.32,10.58
66,23,RB,Shane Vereen,NYG,0.25,10.51
67,22,WR,Vincent Jackson,TBB,0.08,12.35
68,23,WR,Travis Benjamin,CLE,0.01,12.28
69,24,RB,Theo Riddick,DET,0.00,10.26
70,24,WR,Amari Cooper,OAK,0.00,12.27
71,12,QB,Colin Kaepernick,SFO,0.00,18.64
72,12,TE,Ladarius Green,SDC,0.00,8.81
73,13,TE,Jordan Reed,WAS,-0.07,8.74
74,25,WR,Mike Evans,TBB,-0.22,12.05
75,26,WR,Golden Tate,DET,-0.24,12.03
76,27,WR,Allen Hurns,JAC,-0.28,11.99
77,25,RB,Ameer Abdullah,DET,-0.29,9.97
78,28,WR,Eric Decker,NYJ,-0.35,11.92
79,14,TE,Larry Donnell,NYG,-0.42,8.39
80,29,WR,Pierre Garcon,WAS,-0.47,11.80
81,26,RB,Jonathan Stewart,CAR,-0.51,9.75
82,15,TE,Ben Watson,NOS,-0.52,8.29
83,30,WR,Terrance Williams,DAL,-0.60,11.67
84,31,WR,Doug Baldwin,SEA,-0.62,11.65
85,13,QB,Matthew Stafford,DET,-0.62,18.02
86,16,TE,Jordan Cameron,MIA,-0.66,8.15
87,27,RB,Andre Ellington,ARI,-0.69,9.57
88,28,RB,Alfred Morris,WAS,-0.74,9.52
89,32,WR,Mike Wallace,MIN,-0.88,11.39
90,29,RB,Ryan Mathews,PHI,-0.90,9.36
91,33,WR,Kendall Wright,TEN,-0.99,11.28
92,17,TE,Heath Miller,PIT,-1.05,7.76
93,14,QB,Landry Jones,PIT,-1.10,17.54
94,15,QB,Ryan Fitzpatrick,NYJ,-1.12,17.52
95,18,TE,Julius Thomas,JAC,-1.19,7.62
96,34,WR,Leonard Hankerson,ATL,-1.19,11.08
97,19,TE,Kyle Rudolph,MIN,-1.20,7.61
98,16,QB,Alex Smith,KCC,-1.30,17.34
99,17,QB,Nick Foles,STL,-1.36,17.28
100,20,TE,Jared Cook,STL,-1.48,7.33
101,35,WR,Albert Wilson,KCC,-1.56,10.71
102,18,QB,Josh McCown,CLE,-1.58,17.06
103,36,WR,Chris Hogan,BUF,-1.62,10.65
104,21,TE,Crockett Gillmore,BAL,-1.67,7.14
105,30,RB,Isaiah Crowell,CLE,-1.68,8.58
106,31,RB,Joique Bell,DET,-1.77,8.49
107,22,TE,Zach Ertz,PHI,-1.84,6.97
108,19,QB,Brian Hoyer,HOU,-1.86,16.78
109,32,RB,Rashad Jennings,NYG,-1.99,8.27
110,33,RB,Ahmad Bradshaw,IND,-2.00,8.26
111,37,WR,Rishard Matthews,MIA,-2.25,10.02
112,34,RB,Roy Helu,OAK,-2.27,7.99
113,38,WR,Kamar Aiken,BAL,-2.28,9.99
114,35,RB,Charles Sims,TBB,-2.30,7.96
