Overall Rank,Position Rank,Position,Name,Team,CSR Points,Points
8,1,QB,Tom Brady,NEP,8.62,27.00
13,2,QB,Philip Rivers,SDC,5.52,23.90
18,3,QB,Aaron Rodgers,GBP,4.76,23.14
24,4,QB,Drew Brees,NOS,3.94,22.32
29,5,QB,Cam Newton,CAR,3.24,21.62
36,6,QB,Matt Ryan,ATL,2.60,20.98
37,7,QB,Eli Manning,NYG,2.50,20.88
40,8,QB,Andy Dalton,CIN,2.16,20.54
48,9,QB,Ryan Tannehill,MIA,1.58,19.96
51,10,QB,Ben Roethlisberger,PIT,1.42,19.80
67,11,QB,Derek Carr,OAK,0.24,18.62
71,12,QB,Peyton Manning,DEN,0.00,18.38
73,13,QB,Kirk Cousins,WAS,-0.16,18.22
75,14,QB,Jay Cutler,CHI,-0.70,17.68
77,15,QB,Andrew Luck,IND,-1.00,17.38
86,16,QB,Tyrod Taylor,BUF,-1.54,16.84
91,17,QB,Blake Bortles,JAC,-1.88,16.50
93,18,QB,Ryan Fitzpatrick,NYJ,-1.98,16.40
106,19,QB,Jameis Winston,TBB,-2.72,15.66
108,20,QB,Johnny Manziel,CLE,-3.00,15.38
113,21,QB,Blaine Gabbert,SFO,-3.18,15.20
136,22,QB,Marcus Mariota,TEN,-4.80,13.58
137,23,QB,Nick Foles,STL,-4.90,13.48
152,24,QB,Sam Bradford,PHI,-5.52,12.86
166,25,QB,Teddy Bridgewater,MIN,-6.20,12.18
258,26,QB,Geno Smith,NYJ,-9.34,9.04
339,27,QB,Matt Cassel,DAL,-11.76,6.62
397,28,QB,Colin Kaepernick,SFO,-13.72,4.66
398,29,QB,Austin Davis,CLE,-13.88,4.50
399,30,QB,Zach Mettenberger,TEN,-14.34,4.04
400,31,QB,Mark Sanchez,PHI,-14.60,3.78
401,32,QB,Brandon Weeden,DAL,-14.62,3.76
402,33,QB,Matt McGloin,OAK,-14.78,3.60
403,34,QB,Matt Hasselbeck,IND,-14.96,3.42
404,35,QB,Colt McCoy,WAS,-15.00,3.38
405,36,QB,Mike Glennon,TBB,-15.10,3.28
406,37,QB,Chad Henne,JAC,-15.30,3.08
407,38,QB,Kellen Clemens,SDC,-15.88,2.50
408,39,QB,Landry Jones,PIT,-16.22,2.16
409,40,QB,Shaun Hill,MIN,-16.48,1.90
410,41,QB,E.J. Manuel,BUF,-16.62,1.76
411,42,QB,Case Keenum,STL,-16.76,1.62
412,43,QB,Charlie Whitehurst,TEN,-17.00,1.38
413,44,QB,Brock Osweiler,DEN,-17.14,1.24
414,45,QB,Michael Vick,PIT,-17.48,0.90
415,46,QB,Scott Tolzien,GBP,-17.52,0.86
416,47,QB,Robert GriffinIII,WAS,-17.56,0.82
417,48,QB,Jimmy Clausen,CHI,-17.62,0.76
418,49,QB,Jimmy Garoppolo,NEP,-17.90,0.48
419,50,QB,Derek Anderson,CAR,-17.90,0.48
420,51,QB,Ryan Nassib,NYG,-18.14,0.24
421,52,QB,Bryce Petty,NYJ,-18.34,0.04
433,53,QB,Josh McCown,CLE,-18.38,0
434,54,QB,Tony Romo,DAL,-18.38,0
435,55,QB,Taylor Heinicke,MIN,-18.38,0
436,56,QB,Connor Shaw,CLE,-18.38,0
437,57,QB,Bruce Gradkowski,PIT,-18.38,0
430,58,QB,Garrett Grayson,NOS,-18.38,0
432,59,QB,Trevor Siemian,DEN,-18.38,0
431,60,QB,Sean Mannion,STL,-18.38,0
438,61,QB,Alex Tanney,CLE,-18.38,0
429,62,QB,Brett Hundley,GBP,-18.38,0
422,63,QB,Chandler Harnish,IND,-18.38,0
423,64,QB,Joe Webb,CAR,-18.38,0
424,65,QB,Josh Johnson,BUF,-18.38,0
425,66,QB,Sean Renfree,ATL,-18.38,0
426,67,QB,Ryan Griffin,TBB,-18.38,0
427,68,QB,A.J. McCarron,CIN,-18.38,0
428,69,QB,McLeod Bethel-Thompson,SFO,-18.38,0
439,70,QB,Luke McCown,NOS,-18.38,0
440,71,QB,Matt Moore,MIA,-18.46,-0.08
