Overall Rank,Position Rank,Position,Name,Team,CSR Points,Points
10,1,TE,Rob Gronkowski,NEP,7.68,17.18
19,2,TE,Greg Olsen,CAR,4.71,14.21
22,3,TE,Delanie Walker,TEN,4.04,13.54
25,4,TE,Tyler Eifert,CIN,3.55,13.05
32,5,TE,Gary Barnidge,CLE,3.12,12.62
40,6,TE,Martellus Bennett,CHI,2.35,11.85
47,7,TE,Jordan Reed,WAS,1.89,11.39
49,8,TE,Antonio Gates,SDC,1.82,11.32
61,9,TE,Ben Watson,NOS,1.12,10.62
64,10,TE,Jason Witten,DAL,0.65,10.15
68,11,TE,Charles Clay,BUF,0.05,9.55
69,12,TE,Heath Miller,PIT,0.00,9.50
74,13,TE,Coby Fleener,IND,-0.17,9.33
90,14,TE,Jordan Cameron,MIA,-1.78,7.72
92,15,TE,Jared Cook,STL,-1.84,7.66
95,16,TE,Jacob Tamme,ATL,-2.01,7.49
96,17,TE,Zach Ertz,PHI,-2.12,7.38
103,18,TE,Julius Thomas,JAC,-2.52,6.98
107,19,TE,Richard Rodgers,GBP,-2.59,6.91
117,20,TE,Kyle Rudolph,MIN,-3.00,6.50
119,21,TE,Dwayne Allen,IND,-3.06,6.44
120,22,TE,Larry Donnell,NYG,-3.09,6.41
129,23,TE,Mychal Rivera,OAK,-3.68,5.82
132,24,TE,Ladarius Green,SDC,-3.77,5.73
133,25,TE,Austin Seferian-Jenkins,TBB,-3.95,5.55
134,26,TE,Garrett Celek,SFO,-4.00,5.50
135,27,TE,Vernon Davis,DEN,-4.08,5.42
148,28,TE,Lance Kendricks,STL,-5.06,4.44
149,29,TE,Brent Celek,PHI,-5.11,4.39
152,30,TE,Owen Daniels,DEN,-5.19,4.31
156,31,TE,Anthony Fasano,TEN,-5.24,4.26
162,32,TE,Scott Chandler,NEP,-5.54,3.96
170,33,TE,Derek Carrier,WAS,-5.97,3.53
171,34,TE,Dion Sims,MIA,-6.01,3.49
176,35,TE,Chase Ford,MIN,-6.22,3.28
177,36,TE,Clay Harbor,JAC,-6.28,3.22
178,37,TE,Jeff Cumberland,NYJ,-6.32,3.18
185,38,TE,Josh Hill,NOS,-6.49,3.01
187,39,TE,Marcedes Lewis,JAC,-6.55,2.95
189,40,TE,Will Tye,NYG,-6.65,2.85
193,41,TE,Brandon Myers,TBB,-6.73,2.77
196,42,TE,Clive Walford,OAK,-6.85,2.65
207,43,TE,Michael Hoomanawanui,NOS,-7.65,1.85
208,44,TE,Jim Dray,CLE,-7.71,1.79
212,45,TE,Ed Dickson,CAR,-7.84,1.66
215,46,TE,Levine Toilolo,ATL,-7.88,1.62
214,47,TE,Virgil Green,DEN,-7.88,1.62
218,48,TE,Lee Smith,OAK,-8.07,1.43
219,49,TE,John Phillips,SDC,-8.09,1.41
222,50,TE,Jack Doyle,IND,-8.20,1.30
224,51,TE,Vance McDonald,SFO,-8.21,1.29
225,52,TE,Kellen Davis,NYJ,-8.24,1.26
230,53,TE,Gavin Escobar,DAL,-8.32,1.18
232,54,TE,Chris Gragg,BUF,-8.40,1.10
234,55,TE,Rhett Ellison,MIN,-8.47,1.03
238,56,TE,MyCole Pruitt,MIN,-8.52,0.98
237,57,TE,Blake Bell,SFO,-8.52,0.98
239,58,TE,Jake Stoneburner,MIA,-8.53,0.97
241,59,TE,James Hanna,DAL,-8.57,0.93
243,60,TE,Craig Stevens,TEN,-8.62,0.88
246,61,TE,Luke Stocker,TBB,-8.70,0.8
248,62,TE,Cory Harkey,STL,-8.77,0.73
252,63,TE,Nic Jacobs,JAC,-8.95,0.55
253,64,TE,Dominique Jones,KCC,-8.98,0.52
255,65,TE,Tom Crabtree,TBB,-9.02,0.48
256,66,TE,Zach Miller,CHI,-9.05,0.45
257,67,TE,Matthew Mulligan,BUF,-9.06,0.44
258,68,TE,Matt Spaeth,PIT,-9.07,0.43
260,69,TE,Michael Williams,NEP,-9.08,0.42
267,70,TE,E.J. Bibbs,CLE,-9.25,0.25
268,71,TE,Tyler Kroft,CIN,-9.26,0.24
269,72,TE,Justice Cunningham,STL,-9.28,0.22
274,73,TE,Phillip Supernaw,TEN,-9.49,0.01
276,74,TE,Jesse James,PIT,-9.50,0
285,75,TE,Andrew Quarless,GBP,-9.50,0
277,76,TE,Khari Lee,CHI,-9.50,0
278,77,TE,Tony Moeaki,ATL,-9.50,0
279,78,TE,Niles Paul,WAS,-9.50,0
280,79,TE,Logan Paulsen,WAS,-9.50,0
281,80,TE,Zach Sudfeld,NYJ,-9.50,0
282,81,TE,Daniel Fells,NYG,-9.50,0
283,82,TE,C.J. Uzomah,CIN,-9.50,0
284,83,TE,MarQueis Gray,BUF,-9.50,0
286,84,TE,Trey Burton,PHI,-9.50,0
275,85,TE,Jace Amaro,NYJ,-9.50,0
288,86,TE,Robert Housler,CLE,-9.50,0
287,87,TE,Jeff Heuerman,DEN,-9.50,0
