Overall Rank,Position Rank,Position,Name,Team,CSR Points,Points
1,1,WR,Julio Jones,ATL,11.84,24.58
4,2,WR,A.J. Green,CIN,9.66,22.4
5,3,WR,Odell Beckham,NYG,9.26,22.00
6,4,WR,Demaryius Thomas,DEN,9.14,21.88
12,5,WR,Antonio Brown,PIT,6.52,19.26
17,6,WR,Malcom Floyd,SDC,4.84,17.58
20,7,WR,Julian Edelman,NEP,4.67,17.41
23,8,WR,Alshon Jeffery,CHI,4.00,16.74
31,9,WR,Emmanuel Sanders,DEN,3.12,15.86
32,10,WR,Amari Cooper,OAK,2.88,15.62
34,11,WR,Jarvis Landry,MIA,2.78,15.52
44,12,WR,Randall Cobb,GBP,1.73,14.47
49,13,WR,Travis Benjamin,CLE,1.50,14.24
50,14,WR,Martavis Bryant,PIT,1.46,14.20
52,15,WR,Brandin Cooks,NOS,1.33,14.07
53,16,WR,Jordan Matthews,PHI,1.24,13.98
56,17,WR,Brandon Marshall,NYJ,1.04,13.78
57,18,WR,Dez Bryant,DAL,1.03,13.77
58,19,WR,Stefon Diggs,MIN,0.98,13.72
60,20,WR,Michael Crabtree,OAK,0.90,13.64
61,21,WR,Mike Evans,TBB,0.67,13.41
63,22,WR,Eric Decker,NYJ,0.64,13.38
66,23,WR,Allen Robinson,JAC,0.48,13.22
70,24,WR,Pierre Garcon,WAS,0.00,12.74
76,25,WR,Rishard Matthews,MIA,-0.72,12.02
78,26,WR,T.Y. Hilton,IND,-1.11,11.63
79,27,WR,Danny Amendola,NEP,-1.21,11.53
81,28,WR,DeSean Jackson,WAS,-1.32,11.42
83,29,WR,Roddy White,ATL,-1.34,11.40
85,30,WR,Stevie Johnson,SDC,-1.48,11.26
88,31,WR,Allen Hurns,JAC,-1.71,11.03
89,32,WR,Ted GinnJr.,CAR,-1.75,10.99
95,33,WR,James Jones,GBP,-2.11,10.63
97,34,WR,Sammy Watkins,BUF,-2.30,10.44
102,35,WR,Brandon LaFell,NEP,-2.64,10.10
107,36,WR,Willie Snead,NOS,-2.83,9.91
110,37,WR,Marvin Jones,CIN,-3.05,9.69
112,38,WR,Terrance Williams,DAL,-3.08,9.66
114,39,WR,Davante Adams,GBP,-3.26,9.48
117,40,WR,Harry Douglas,TEN,-3.41,9.33
118,41,WR,Rueben Randle,NYG,-3.48,9.26
119,42,WR,Robert Woods,BUF,-3.50,9.24
120,43,WR,Mike Wallace,MIN,-3.54,9.20
123,44,WR,Marques Colston,NOS,-3.71,9.03
131,45,WR,Donte Moncrief,IND,-4.24,8.50
132,46,WR,Torrey Smith,SFO,-4.30,8.44
134,47,WR,Chris Hogan,BUF,-4.47,8.27
138,48,WR,Tavon Austin,STL,-4.91,7.83
140,49,WR,Kenny Britt,STL,-4.99,7.75
144,50,WR,Andre Johnson,IND,-5.17,7.57
149,51,WR,Corey Brown,CAR,-5.38,7.36
156,52,WR,Kenny Stills,MIA,-5.70,7.04
