Rank,Pos,ID,Name,Team,Opp,Comp,Yards,TD,Int,Att,Yards,TD,Rec,Yards,TD,Fantasy Points
1,QB,5848,"Brady, Tom",NEP,NYG,27.62,317,2.51,0.46,2.23,2,0.18,0,0,0,28
2,QB,7836,"Rodgers, Aaron",GBP,DET,22.59,278,2.44,0.42,3.17,19,0.07,0,0,0,24
3,QB,4925,"Brees, Drew",NOS,WAS,29.08,339,2.15,0.94,1.68,2,0.15,0,0,0,24
4,QB,11642,"Bortles, Blake",JAC,BAL,23.62,276,1.73,1.06,3.58,21,0,0,0,0,23
5,QB,10273,"Newton, Cam",CAR,TEN,17.45,224,1.58,1.06,8.15,41,0.44,0,0,0,22
6,QB,8252,"Cutler, Jay",CHI,STL,19.05,256,1.88,1.06,2.91,14,0.1,0,0,0,21
7,QB,10697,"Tannehill, Ryan",MIA,PHI,23.1,256,1.56,1.03,2.56,14,0.02,0,0,0,21
8,QB,10313,"Dalton, Andy",CIN,HOU,20.2,237,1.75,0.8,4.58,11,0.22,0,0,0,20
9,QB,7391,"Manning, Eli",NYG,NEP,22.31,245,1.8,0.87,1.23,3,0.02,0,0,0,20
10,QB,9714,"Hoyer, Brian",HOU,CIN,19.88,236,1.51,0.74,1.46,3,0.05,0,0,0,19
11,QB,3291,"Manning, Peyton",DEN,KCC,21.72,247,1.58,1.32,0.77,0,0,0,0,0,19
12,QB,11644,"Carr, Derek",OAK,MIN,21.78,239,1.95,0.66,1.64,4,0,0,0,0,19
13,QB,6929,"Palmer, Carson",ARI,SEA,17.33,231,1.67,0.95,2.17,3,0,0,0,0,19
14,RB,8268,"Williams, DeAngelo",PIT,CLE,0,0,0,0,19.03,101,0.81,3.65,31,0.05,19
15,WR,9988,"Brown, Antonio",PIT,CLE,0,0,0,0,0.34,2,0,8.08,114,0.54,18
16,QB,10703,"Wilson, Russell",SEA,ARI,17.23,211,1.18,0.72,7.11,41,0.14,0,0,0,18
17,QB,10700,"Cousins, Kirk",WAS,NOS,27.64,289,1.46,1.06,1.29,4,0.21,0,0,0,18
18,RB,10302,"Murray, DeMarco",PHI,MIA,0,0,0,0,18.75,77,0.57,3.67,28,0.12,17
19,WR,9884,"Thomas, Demaryius",DEN,KCC,0,0,0,0,0,0,0,8.35,108,0.52,17
20,QB,9064,"Flacco, Joe",BAL,JAC,24.12,266,1.46,0.94,2.02,3,0.27,0,0,0,17
21,QB,7813,"Smith, Alex",KCC,DEN,17.36,196,1.13,0.47,4.77,29,0.08,0,0,0,17
22,RB,10276,"Ingram, Mark",NOS,WAS,0,0,0,0,16.68,73,0.63,3.42,26,0,16
